Species,Beginning Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs mobilized,TEs static,TEs in Exons,TEs in Non-Coding,Exon New Size,Non-Coding New Size,Total Genome Growth,Simulation Rounds,Total Time
Calidris_pygmaea.ASM369795v1.112,1178350366,0,5874762,5874763,1178350366,1000,500443,499557,2469,497974,18306084,3686559553,2526515271,1000,1.1492736339569092
Callithrix_jacchus.mCalJac1.pat.X.112,2829711198,0,28893707,28893708,2829711198,1000,499566,500434,5087,494479,54303373,5298375849,2522968024,1000,1.2665178775787354
Callorhinchus_milii.Callorhinchus_milii-6.1.3.112,974498586,0,7714862,7714863,974498586,1000,500065,499935,3957,496108,27653461,3470092873,2523247748,1000,1.1152257919311523
Camarhynchus_parvulus.Camarhynchus_parvulus_V1.1.112,1064016364,0,15396573,15396574,1064016364,1000,500331,499669,7413,492918,52803232,3537333291,2526120159,1000,1.2135064601898193
Camelus_dromedarius.CamDro2.112,2154386959,0,20137145,20137146,2154386959,1000,499228,500772,4569,494659,43114195,4631603356,2520330592,1000,1.1455650329589844
Canis_lupus_dingo.ASM325472v1.112,2439831507,0,15918489,15918490,2439831507,1000,499648,500352,3288,496360,32661078,4929600463,2522430034,1000,1.1023757457733154
Canis_lupus_familiarisbasenji.Basenji_breed-1.1.112,2410429933,0,20606378,20606379,2410429933,1000,499835,500165,4350,495485,42556168,4890429679,2522555914,1000,0.980358362197876
Canis_lupus_familiarisboxer.Dog10K_Boxer_Tasha.112,2312785471,0,31323569,31323570,2312785471,1000,499598,500402,6702,492896,65392306,4771578349,2524185184,1000,1.100419044494629
Canis_lupus_familiarisgreatdane.UMICH_Zoey_3.1.112,2343202000,0,21104874,21104875,2343202000,1000,499971,500029,4581,495390,44293204,4820398254,2521489458,1000,1.1808934211730957
Canis_lupus_familiarisgsd.UU_Cfam_GSD_1.0.112,2481983352,0,32134014,32134015,2481983352,1000,501269,498731,6378,494891,64404456,4949191688,2531612792,1000,1.0080924034118652
Canis_lupus_familiaris.ROS_Cfam_1.0.112,2396858295,0,31282366,31282367,2396858295,1000,499948,500052,6474,493474,63813750,4856068797,2523024252,1000,1.2343807220458984
Capra_hircus.ARS1.112,2922813246,0,22772805,22772806,2922813246,1000,500668,499332,3751,496917,41765619,5407299841,2526252214,1000,1.2194483280181885
Capra_hircus_blackbengal.CVASU_BBG_1.0.112,3041623660,0,31991338,31991339,3041623660,1000,499227,500773,5175,494052,58096540,5504663888,2521136768,1000,1.2404451370239258
Carassius_auratus.ASM336829v1.112,1820635050,0,24940422,24940423,1820635050,1000,500341,499659,6761,493580,58692254,4287563995,2525621199,1000,1.2331888675689697
Carlito_syrichta.Tarsius_syrichta-2.0.1.112,3453864774,0,1442261,1442262,3453864774,1000,500337,499663,190,500147,2360011,5977507944,2526003181,1000,1.339052438735962
Castor_canadensis.C.can_genome_v1.0.112,2518306565,0,1756658,1756659,2518306565,1000,500282,499718,367,499915,3664291,5039710179,2525067905,1000,0.9804394245147705
Catagonus_wagneri.CatWag_v2_BIUU_UCD.112,2640067814,0,12681909,12681910,2640067814,1000,500531,499469,2379,498152,24683589,5140207490,2524823265,1000,1.1364495754241943
Catharus_ustulatus.bCatUst1.pri.112,1131616430,0,13895375,13895376,1131616430,1000,500183,499817,6128,494055,44650558,3612470215,2525504343,1000,1.366574764251709
Cavia_aperea.CavAp1.0.112,2716396567,0,9147913,9147914,2716396567,1000,499959,500041,1682,498277,17572462,5222710447,2523886342,1000,1.1745202541351318
Cavia_porcellus.Cavpor3.0.112,2723219641,0,18251404,18251405,2723219641,1000,499850,500150,3342,496508,35028788,5211732093,2523541240,1000,1.1682641506195068
Cebus_imitator.Cebus_imitator-1.0.112,2717703182,0,9033770,9033771,2717703182,1000,500185,499815,1648,498537,17436859,5223717143,2523450820,1000,1.0419566631317139
Cercocebus_atys.Caty_1.0.112,2848246356,0,15418010,15418011,2848246356,1000,500034,499966,2674,497360,29058402,5343674089,2524486135,1000,1.0920686721801758
Cervus_hanglu_yarkandensis.CEY_v1.112,2594114534,0,22203908,22203909,2594114534,1000,499840,500160,4196,495644,43306951,5073483576,2522675993,1000,1.102982997894287
Chelonoidis_abingdonii.ASM359739v1.112,2300739315,0,3527085,3527086,2300739315,1000,500234,499766,743,499491,7212194,4819223139,2525696018,1000,1.1322438716888428
Chelydra_serpentina.Chelydra_serpentina-1.0.112,2401360239,0,12981809,12981810,2401360239,1000,499616,500384,2677,496939,26684585,4896648557,2521972903,1000,1.0347518920898438
Chinchilla_lanigera.ChiLan1.0.112,2390868971,0,18259833,18259834,2390868971,1000,500043,499957,3814,496229,37304150,4878674063,2525109242,1000,1.1130971908569336
Chlorocebus_sabaeus.ChlSab1.1.112,2789656328,0,23021948,23021949,2789656328,1000,500995,499005,4141,496854,43953787,5274160241,2528457700,1000,1.0360960960388184
Choloepus_hoffmanni.choHof1.112,2467493193,0,274224,274225,2467493193,1000,500232,499768,65,500167,603034,4991056461,2524166302,1000,1.0908050537109375
Chrysemys_picta_bellii.Chrysemys_picta_bellii-3.0.3.112,2365766571,0,11384265,11384266,2365766571,1000,499511,500489,2320,497191,23131225,4863312515,2520677169,1000,1.1180572509765625
Chrysolophus_pictus.Chrysolophus_pictus_GenomeV1.0.112,1023990748,0,3498065,3498066,1023990748,1000,500547,499453,1706,498841,12070588,3536447787,2524527627,1000,1.211043119430542
Ciona_intestinalis.KH.112,115227500,0,4931359,4931360,115227500,1000,499468,500532,20154,479314,106042744,2530166236,2520981480,1000,1.0901978015899658
Ciona_savignyi.CSAV2.0.112,177003750,0,3084002,3084003,177003750,1000,500963,499037,8587,492376,46266604,2661409032,2530671886,1000,1.0847458839416504
Clupea_harengus.Ch_v2.0.2v2.112,786325606,0,22040662,22040663,786325606,1000,500610,499390,13920,486690,92270380,3220566541,2526511315,1000,1.1057801246643066
Colobus_angolensis_palliatus.Cang.pa_1.0.112,2970124662,0,10330784,10330785,2970124662,1000,499352,500648,1720,497632,18948855,5473062852,2521887045,1000,1.0689551830291748
Corvus_moneduloides.bCorMon1.pri.112,1112734094,0,16066683,16066684,1112734094,1000,499633,500367,7317,492316,52607524,3582233630,2522107060,1000,1.042959451675415
Cottoperca_gobio.fCotGob3.1.112,609391784,0,18481889,18481890,609391784,1000,499824,500176,15102,484722,94942360,3039304641,2524855217,1000,1.0367579460144043
Coturnix_japonica.Coturnix_japonica_2.0.112,927656957,0,15921464,15921465,927656957,1000,499676,500324,8589,491087,59296976,3388766786,2520406805,1000,1.082425832748413
Cricetulus_griseus_chok1gshd.CHOK1GS_HDv1.112,2358167390,0,19400617,19400618,2358167390,1000,499636,500364,4044,495592,39772934,4841688879,2523294423,1000,1.217416524887085
Cricetulus_griseus_crigri.CriGri_1.0.112,2399786748,0,3593610,3593611,2399786748,1000,499423,500577,787,498636,7559872,4915761372,2523534496,1000,1.096768856048584
Cricetulus_griseus_picr.CriGri-PICRH-1.0.112,2366634374,0,38560055,38560056,2366634374,1000,500217,499783,8270,491947,80508927,4810227874,2524102427,1000,1.1729717254638672
Crocodylus_porosus.CroPor_comp1.112,2049536252,0,15481742,15481743,2049536252,1000,499343,500657,3695,495648,34221175,4536772947,2521457870,1000,1.0958356857299805
Cyanistes_caeruleus.cyaCae2.112,1186980630,0,12750904,12750905,1186980630,1000,500341,499659,5538,494803,40950922,3669302384,2523272676,1000,1.1309912204742432
Cyclopterus_lumpus.fCycLum1.pri.112,572885595,0,15615306,15615307,572885595,1000,499861,500139,13383,486478,82786842,3011554543,2521455790,1000,1.0358271598815918
Cynoglossus_semilaevis.Cse_v1.0.112,470199494,0,17197487,17197488,470199494,1000,500284,499716,18124,482160,108778585,2883991376,2522570467,1000,0.9474318027496338
Cyprinodon_variegatus.C_variegatus-1.0.112,1035184475,0,2605134,2605135,1035184475,1000,500596,499404,1222,499374,8771718,3554083541,2527670784,1000,0.9980711936950684
Cyprinus_carpio_carpio.Cypcar_WagV4.0.112,1460365368,0,32156943,32156944,1460365368,1000,499803,500197,10862,488941,86984607,3897720144,2524339383,1000,1.233107328414917
Cyprinus_carpio_germanmirror.German_Mirror_carp_1.0.112,1414711435,0,8948206,8948207,1414711435,1000,499697,500303,3185,496512,25172973,3912460265,2522921803,1000,1.1908199787139893
Cyprinus_carpio_hebaored.Hebao_red_carp_1.0.112,1457977772,0,4234450,4234451,1457977772,1000,500598,499402,1617,498981,12428426,3968998608,2523449262,1000,0.9698994159698486
Cyprinus_carpio_huanghe.Hunaghe_carp_2.0.112,1423633724,0,6199696,6199697,1423633724,1000,500565,499435,2369,498196,18177810,3933371286,2527915372,1000,1.0039911270141602
Danio_rerio.GRCz11.112,1373471384,0,28218515,28218516,1373471384,1000,500442,499558,10326,490116,80408489,3818259578,2525196683,1000,1.107421636581421
Dasypus_novemcinctus.Dasnov3.0.112,3631522711,0,4493570,4493571,3631522711,1000,499655,500345,619,499036,7736587,6145787985,2522001861,1000,1.1913514137268066
Delphinapterus_leucas.ASM228892v3.112,2362774659,0,16371359,16371360,2362774659,1000,499875,500125,3365,496510,33414421,4850409188,2521048950,1000,1.1146411895751953
Denticeps_clupeoides.fDenClu1.2.112,567401054,0,18576149,18576150,567401054,1000,499560,500440,16464,483096,101797077,2988139410,2522535433,1000,1.1168887615203857
Dicentrarchus_labrax.dlabrax2021.112,695892153,0,24495591,24495592,695892153,1000,499492,500508,17557,481935,113099575,3103983788,2521191210,1000,1.0170960426330566
Dipodomys_ordii.Dord_2.0.112,2236368823,0,10693988,10693989,2236368823,1000,499717,500283,2368,497349,22752443,4736229211,2522612831,1000,1.0995938777923584
Dromaius_novaehollandiae.droNov1.112,1192237364,0,5412342,5412343,1192237364,1000,499998,500002,2156,497842,16115877,3700105497,2523984010,1000,1.2779793739318848
Drosophila_melanogaster.BDGP6.46.112,143726002,0,16565952,16565953,143726002,1000,500095,499905,58050,442045,309288746,2358395720,2523958464,1000,1.1841237545013428
Echeneis_naucrates.fEcheNa1.1.112,544212633,0,16030977,16030978,544212633,1000,499266,500734,14364,484902,88326887,2975279236,2519393490,1000,1.238227367401123
Echinops_telfairi.TENREC.112,3833584941,0,581160,581161,3833584941,1000,499841,500159,65,499776,898307,6355584321,2522897687,1000,1.1937129497528076
Electrophorus_electricus.fEleEle1.pri.112,589358956,0,16540538,16540539,589358956,1000,499620,500380,14108,485512,88075170,3022074789,2520791003,1000,1.0980675220489502
Eptatretus_burgeri.Eburgeri_3.2.112,2608383542,0,5231846,5231847,2608383542,1000,499486,500514,1005,498481,10310810,5117258906,2519186174,1000,1.0949842929840088
Equus_asinus.ASM1607732v2.112,2431907375,0,34471955,34471956,2431907375,1000,499778,500222,7247,492531,70798160,4883761183,2522651968,1000,0.8063774108886719
Equus_caballus.EquCab3.0.112,2506966135,0,30851080,30851081,2506966135,1000,500229,499771,6195,494034,62128107,4969852468,2525014440,1000,0.7871050834655762
Erinaceus_europaeus.HEDGEHOG.112,3377541562,0,497415,497416,3377541562,1000,499705,500295,61,499644,815996,5898386102,2521660536,1000,0.7295734882354736
Erpetoichthys_calabaricus.fErpCal1.1.112,3811022027,0,21967028,21967029,3811022027,1000,500474,499526,2845,497629,36317928,6297231204,2522527105,1000,0.7029762268066406
Erythrura_gouldiae.GouldianFinch.112,1070785140,0,10586116,10586117,1070785140,1000,500008,499992,5143,494865,36571324,3556956455,2522742639,1000,0.6612033843994141
Esox_lucius.fEsoLuc1.pri.112,918748614,0,26914173,26914174,918748614,1000,500620,499380,14779,485841,101541103,3345990885,2528783374,1000,0.8368816375732422
Falco_tinnunculus.FalTin1.0.112,1179901403,0,12690911,12690912,1179901403,1000,500237,499763,5231,495006,39039530,3665521045,2524659172,1000,0.6683213710784912
Felis_catus.Felis_catus_9.0.112,2521863845,0,25571035,25571036,2521863845,1000,500468,499532,5175,495293,51862560,4994887794,2524886509,1000,0.6854066848754883
Ficedula_albicollis.FicAlb1.5.112,1118343587,0,16748087,16748088,1118343587,1000,500952,499048,7437,493515,54243868,3590849981,2526750262,1000,0.6180417537689209
Fukomys_damarensis.DMR_v1.0.112,2333908851,0,9013506,9013507,2333908851,1000,500083,499917,1900,498183,18536355,4839818555,2524446059,1000,0.6266269683837891
Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2.112,1021898560,0,3886531,3886532,1021898560,1000,500270,499730,1795,498475,12977435,3534012800,2525091675,1000,0.6194102764129639
Gadus_morhua.gadMor3.0.112,669949713,0,19725210,19725211,669949713,1000,500943,499057,14387,486556,92330093,3105383584,2527763964,1000,0.6207582950592041
Gadus_morhua_gca010882105v1.gadMor_Celtic.112,684268512,0,22407982,22407983,684268512,1000,499407,500593,15919,483488,102717468,3102135573,2520584529,1000,0.6152491569519043
Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.112,1053332251,0,37243080,37243081,1053332251,1000,499919,500081,17575,482344,125830459,3450440690,2522938898,1000,0.6162233352661133
Gallus_gallus_gca000002315v5.GRCg6a.112,1065365425,0,37743597,37743598,1065365425,1000,500144,499856,17615,482529,126905349,3463282633,2524822557,1000,0.623650312423706
Gallus_gallus_gca016700215v2.bGalGal1.pat.whiteleghornlayer.GRCg7w.112,1048336660,0,37597348,37597349,1048336660,1000,499763,500237,18331,481432,130147271,3442124778,2523935389,1000,0.6198031902313232
Gambusia_affinis.ASM309773v1.112,598663367,0,11180242,11180243,598663367,1000,499496,500504,9260,490236,57965204,3061701914,2521003751,1000,0.6093459129333496
Gasterosteus_aculeatus.GAculeatus_UGA_version5.112,471877818,0,21452283,21452284,471877818,1000,500561,499439,22891,477670,136992911,2860972540,2526087633,1000,0.6166532039642334
Gasterosteus_aculeatus_gca006229185v1.BOT.112,427295814,0,1572524,1572525,427295814,1000,500655,499345,1675,498980,10006191,2942519672,2525230049,1000,0.6083705425262451
Gasterosteus_aculeatus_gca006232265v1.BAM.112,445644378,0,2363694,2363695,445644378,1000,499781,500219,2791,496990,16659865,2954029509,2525044996,1000,0.6139898300170898
Gasterosteus_aculeatus_gca006232285v1.SYL.112,431811987,0,1923620,1923621,431811987,1000,501172,498828,2244,498928,13276875,2947094938,2528559826,1000,0.6097891330718994
Geospiza_fortis.GeoFor_1.0.112,1065292181,0,7340008,7340009,1065292181,1000,500690,499310,3487,497203,24800124,3570356441,2529864384,1000,0.6151683330535889
Gopherus_agassizii.ASM289641v1.112,2184966080,0,902307,902308,2184966080,1000,499702,500298,192,499510,1870646,4706284198,2523188764,1000,0.629610538482666
Gopherus_evgoodei.rGopEvg1_v1.p.112,2298547364,0,18432196,18432197,2298547364,1000,499247,500753,4021,495226,38613956,4779383665,2519450257,1000,0.630826473236084
Gorilla_gorilla.gorGor4.112,3063362794,0,25142797,25142798,3063362794,1000,500625,499375,4137,496488,46191092,5543826139,2526654437,1000,0.6304807662963867
Gouania_willdenowi.fGouWil2.1.112,937150793,0,20609848,20609849,937150793,1000,500763,499237,11118,489645,76717632,3385984336,2525551175,1000,0.6513113975524902
Heterocephalus_glaber_female.Naked_mole-rat_maternal.112,2500150894,0,34336134,34336135,2500150894,1000,500074,499926,6748,493326,68368485,4957871346,2526088937,1000,0.7479720115661621
Heterocephalus_glaber_male.Naked_mole-rat_paternal.112,2499457497,0,33968686,33968687,2499457497,1000,498868,501132,6764,492104,68102260,4949733363,2518378126,1000,0.7735893726348877
Hippocampus_comes.H_comes_QL1_v1.112,493775940,0,5027494,5027495,493775940,1000,500448,499552,4873,495575,29705888,2988690301,2524620249,1000,0.6694529056549072
Homo_sapiens.GRCh38.112,3099750718,0,64914352,64914353,3099750718,1000,499565,500435,10077,489488,115697212,5505578321,2521524815,1000,0.7986457347869873
Hucho_hucho.ASM331708v1.112,2487549814,0,2259268,2259269,2487549814,1000,499985,500015,406,499579,4328955,5007499154,2524278295,1000,0.801863431930542
Ictalurus_punctatus.ASM400665v3.112,1036985268,0,23898737,23898738,1036985268,1000,499957,500043,11415,488542,81385667,3476366042,2520766441,1000,0.8495321273803711
Ictidomys_tridecemlineatus.SpeTri2.0.112,2478410228,0,12599212,12599213,2478410228,1000,499875,500125,2513,497362,25330100,4976184854,2523104726,1000,0.9074223041534424
Jaculus_jaculus.JacJac1.0.112,2835250225,0,11602455,11602456,2835250225,1000,499682,500318,1966,497716,21464685,5337995376,2524209836,1000,1.035038948059082
Junco_hyemalis.ASM382977v1.112,958315288,0,14791589,14791590,958315288,1000,500656,499344,7815,492841,54341463,3429291068,2525317243,1000,0.8363792896270752
Kryptolebias_marmoratus.ASM164957v1.112,680366784,0,6713077,6713078,680366784,1000,500121,499879,4875,495246,31171968,3175041184,2525846368,1000,0.993685245513916
Labrus_bergylta.BallGen_V1.112,805480521,0,3354049,3354050,805480521,1000,500180,499820,2068,498112,13737697,3317201417,2525458593,1000,0.7063839435577393
Larimichthys_crocea.L_crocea_2.0.112,657939657,0,20039556,20039557,657939657,1000,499808,500192,15381,484427,97498866,3083532607,2523091816,1000,1.317575454711914
Lates_calcarifer.ASB_HGAPassembly_v1.112,668464831,0,6757295,6757296,668464831,1000,499754,500246,5003,494751,31996625,3156608619,2520140413,1000,0.7084043025970459
Laticauda_laticaudata.latLat_1.0.112,1558706106,0,440080,440081,1558706106,1000,500300,499700,137,500163,1140663,4082333455,2524768012,1000,0.8470091819763184
Latimeria_chalumnae.LatCha1.112,2860591921,0,3727104,3727105,2860591921,1000,500802,499198,688,500114,7166866,5380361755,2526936700,1000,1.1720154285430908
Lepidothrix_coronata.Lepidothrix_coronata-1.0.112,1079577334,0,6300283,6300284,1079577334,1000,499500,500500,2979,496521,21429653,3581661539,2523513858,1000,0.9317336082458496
Lepisosteus_oculatus.LepOcu1.112,945878036,0,20289272,20289273,945878036,1000,500156,499844,10774,489382,74803376,3395884495,2524809835,1000,0.9887270927429199
Leptobrachium_leishanense.ASM966780v1.112,3549060464,0,29506336,29506337,3549060464,1000,500354,499646,4060,496294,49969786,6023646889,2524556211,1000,0.8198473453521729
Lonchura_striata_domestica.LonStrDom1.112,1060169706,0,5150330,5150331,1060169706,1000,500222,499778,2281,497941,16467596,3569536994,2525834884,1000,0.6914525032043457
Loxodonta_africana.loxAfr3.112,3196760833,0,13148679,13148680,3196760833,1000,500537,499463,2154,498383,24174499,5698972280,2526385946,1000,0.7164795398712158
Lynx_canadensis.mLynCan4_v1.p.112,2408883772,0,22037459,22037460,2408883772,1000,501187,498813,4715,496472,45831245,4893764717,2530712190,1000,0.8056025505065918
Macaca_fascicularis.Macaca_fascicularis_6.0.112,2906155132,0,33999919,33999920,2906155132,1000,499040,500960,5990,493050,64183176,5359969247,2517997291,1000,1.0806400775909424
Macaca_mulatta.Mmul_10.112,2971331530,0,35380494,35380495,2971331530,1000,499856,500144,6013,493843,65700897,5429683107,2524052474,1000,0.9893131256103516
Macaca_nemestrina.Mnem_1.0.112,2948703511,0,16500846,16500847,2948703511,1000,500633,499367,2768,497865,30273878,5445252939,2526823306,1000,1.0206642150878906
Malurus_cyaneus_samueli.mCya_1.0.112,1078874851,0,11795479,11795480,1078874851,1000,500637,499363,5616,495021,40365914,3566087796,2527578859,1000,1.2781338691711426
Manacus_vitellinus.ASM171598v2.112,1213150360,0,11502252,11502253,1213150360,1000,499670,500330,4567,495103,34473161,3701112770,2522435571,1000,0.7225594520568848
Mandrillus_leucophaeus.Mleu.le_1.0.112,3062009387,0,6349434,6349435,3062009387,1000,499011,500989,997,498014,11402310,5570451469,2519844392,1000,0.9051320552825928
Marmota_marmota_marmota.marMar2.1.112,2510587379,0,13676069,13676070,2510587379,1000,500251,499749,2783,497468,27723338,5009446536,2526582495,1000,0.7124524116516113
Mastacembelus_armatus.fMasArm1.2.112,591951587,0,17237365,17237366,591951587,1000,499521,500479,14135,485386,88414884,3025226330,2521689627,1000,0.7765161991119385
Maylandia_zebra.M_zebra_UMD2a.112,957485262,0,21956728,21956729,957485262,1000,500801,499199,11715,489086,81061383,3405442794,2529018915,1000,0.7154824733734131
Meleagris_gallopavo.Turkey_5.1.112,1115474681,0,13811831,13811832,1115474681,1000,500148,499852,6171,493977,45009250,3593840524,2523375093,1000,0.7038915157318115
Melopsittacus_undulatus.bMelUnd1.mat.Z.112,1171617451,0,15773912,15773913,1171617451,1000,499942,500058,6873,493069,50299872,3641572366,2520254787,1000,0.7278931140899658
Meriones_unguiculatus.MunDraft-v1.0.112,2523124066,0,2437627,2437628,2523124066,1000,500371,499629,488,499883,4941066,5042565626,2524382626,1000,0.6463491916656494
Mesocricetus_auratus.MesAur1.0.112,2504925039,0,12317885,12317886,2504925039,1000,499995,500005,2388,497607,24239640,5005164306,2524478907,1000,0.7869100570678711
Microcebus_murinus.Mmur_3.0.112,2487409138,0,25536670,25536671,2487409138,1000,499779,500221,5214,494565,51632340,4960040404,2524263606,1000,0.6446287631988525
Mola_mola.ASM169857v1.112,639451992,0,9738318,9738319,639451992,1000,500315,499685,7340,492975,46547613,3118737169,2525832790,1000,0.7267856597900391
Monodelphis_domestica.ASM229v1.112,3600504728,0,29520918,29520919,3600504728,1000,499867,500133,4019,495848,49767405,6073998244,2523260921,1000,0.6997697353363037
Monodon_monoceros.NGI_Narwhal_1.112,2355574979,0,19535652,19535653,2355574979,1000,500528,499472,4047,496481,39888264,4842862171,2527175456,1000,0.7334449291229248
Monopterus_albus.M_albus_1.0.112,684144148,0,5847688,5847689,684144148,1000,500131,499869,4176,495955,26995561,3180544635,2523396048,1000,0.6737241744995117
Moschus_moschiferus.MosMos_v2_BIUU_UCD.112,3069608437,0,13008079,13008080,3069608437,1000,499921,500079,2139,497782,23860027,5572517352,2526768942,1000,0.6610543727874756
Mus_caroli.CAROLI_EIJ_v1.1.112,2553112587,0,40781677,40781678,2553112587,1000,500507,499493,7843,492664,80425319,4999925423,2527238155,1000,0.7693493366241455
