Species_name,Assembly,Genome_size,Num_exons
Sinocyclocheilus_rhinocerous,SAMN03320098_v1.1.112,1655786410,3512192
Sorex_araneus,COMMON_SHREW1.112,2944193050,546855
Sparus_aurata,fSpaAur1.1.112,833578411,21994164
Spermophilus_dauricus,ASM240643v1.112,3106271744,4114630
Sphaeramia_orbicularis,fSphaOr1.1.112,1342662642,21229636
Sphenodon_punctatus,ASM311381v1.112,4272214985,5935996
Stachyris_ruficeps,ASM869450v1.112,1041446934,11324357
Stegastes_partitus,Stegastes_partitus-1.0.2.112,800491834,1760338
Strigops_habroptila,bStrHab1_v1.p.112,1165621973,21322108
Strix_occidentalis_caurina,Soccid_v01.112,1255541132,5407716
Struthio_camelus_australis,ASM69896v1.112,1225041896,6053848
Suricata_suricatta,meerkat_22Aug2017_6uvM2_HiC.112,2353578744,22686455
Sus_scrofa_bamei,Bamei_pig_v1.112,2460755741,5255132
Sus_scrofa_berkshire,Berkshire_pig_v1.112,2434706773,5316462
Sus_scrofa_hampshire,Hampshire_pig_v1.112,2437109612,5381287
Sus_scrofa_jinhua,Jinhua_pig_v1.112,2453702738,5153952
Sus_scrofa_landrace,Landrace_pig_v1.112,2440981886,4653207
Sus_scrofa_largewhite,Large_White_v1.112,2457907103,6235643
Sus_scrofa_meishan,Meishan_pig_v1.112,2467495771,4075203
Sus_scrofa_pietrain,Pietrain_pig_v1.112,2438316299,5138864
Sus_scrofa_rongchang,Rongchang_pig_v1.112,2459027728,6278473
Sus_scrofa,Sscrofa11.1.112,2501912388,51283099
Sus_scrofa_tibetan,Tibetan_Pig_v2.112,2437742524,2980170
Sus_scrofa_usmarc,USMARCv1.0.112,2755438035,29469657
Sus_scrofa_wuzhishan,minipig_v1.0.112,2508912457,11155353
Taeniopygia_guttata,bTaeGut1_v1.p.112,1057995280,28121815
Takifugu_rubripes,fTakRub1.2.112,384110215,14974353
Terrapene_carolina_triunguis,T_m_triunguis-2.0.112,2571267249,14563677
Tetraodon_nigroviridis,TETRAODON8.112,358618246,11839604
Theropithecus_gelada,Tgel_1.0.112,2889614139,20296140
Tupaia_belangeri,TREESHREW.112,3670341392,960649
Tursiops_truncatus,turTru1.112,2521923936,1003344
Urocitellus_parryii,ASM342692v1.112,2520505282,7168697
Ursus_americanus,ASM334442v1.112,2588393916,824719
Ursus_maritimus,UrsMar_1.0.112,2301379344,12077104
Ursus_thibetanus_thibetanus,ASM966005v1.112,2373594928,14267232
Varanus_komodoensis,ASM479886v1.112,1507945839,13310133
Vicugna_pacos,vicPac1.112,2967746133,1702345
Vombatus_ursinus,bare-nosed_wombat_genome_assembly.112,3486597218,16057534
Vulpes_vulpes,VulVul2.2.112,2421551259,14358348
Xenopus_tropicalis,UCB_Xtro_10.0.112,1451301209,34432895
Xiphophorus_couchianus,Xiphophorus_couchianus-4.0.1.112,708396389,11316915
Xiphophorus_maculatus,X_maculatus-5.0-male.112,704321165,21434631
Zalophus_californianus,mZalCal1.pri.112,2408641788,23793592
Zonotrichia_albicollis,Zonotrichia_albicollis-1.0.1.112,1052600561,7335253
Zosterops_lateralis_melanops,ASM128173v1.112,1036003386,5383517
