Species,Genome_size,Positive Strand Range,Negative Strand Range,Average Range,Exon_to_genome_ratio
Numida_meleagris.NumMel1.0.112,1043264150,17307748,16943096,17125422,0.016415230984406
Ochotona_princeps.OchPri2.0-Ens.112,4781903803,990735,1035174,1012954,0.000211830693742628
Octodon_degus.OctDeg1.0.112,2995872505,10357441,10719296,10538368,0.00351762899870133
Oncorhynchus_kisutch.Okis_V2.112,2375894934,41392915,41057655,41225285,0.0173514764521149
Oncorhynchus_mykiss.USDA_OmykA_1.1.112,2341671972,43515922,42811594,43163758,0.018432879803884
Oncorhynchus_tshawytscha.Otsh_v2.0.112,2294859190,47956896,45246338,46601617,0.0203069614044599
Ornithorhynchus_anatinus.mOrnAna1.p.v1.112,1858552590,20792925,20993164,20893044,0.0112415672886609
Oryctolagus_cuniculus.OryCun2.0.112,2737490501,19857862,19409190,19633526,0.0071720891790594
Oryzias_javanicus.OJAV_1.1.112,809679899,19609936,19802862,19706399,0.0243385059013303
Oryzias_latipes.ASM223467v1.112,734057086,21829911,21767961,21798936,0.029696513276353
Oryzias_latipes_hni.ASM223471v1.112,677633405,20919609,20626479,20773044,0.0306552832943647
Oryzias_latipes_hsok.ASM223469v1.112,744414398,21802128,21801927,21802027,0.0292874869945758
Oryzias_melastigma.Om_v0.7.RACA.112,779452910,19051423,18823335,18937379,0.0242957319897619
Oryzias_sinensis.ASM858656v1.112,813986518,4331067,4250931,4290999,0.00527158485443121
Otolemur_garnettii.OtoGar3.112,2519404493,11240966,11300770,11270868,0.0044736238390125
Otus_sunia.OtuSun1.0.112,1231433939,10918234,11094121,11006177,0.00893769178469914
Ovis_aries.Oar_v3.1.112,2619054388,20778515,20241049,20509782,0.00783098743346906
Ovis_aries_rambouillet.ARS-UI_Ramb_v2.0.112,2628146905,41378024,40818879,41098451,0.0156378058326233
Pan_paniscus.panpan1.1.112,3286643896,26373233,25886113,26129673,0.00795025984768263
Panthera_leo.PanLeo1.0.112,2406807619,17604418,17557097,17580757,0.00730459587264586
Panthera_pardus.PanPar1.0.112,2578019207,14870592,14885082,14877837,0.00577103419540194
Panthera_tigris_altaica.PanTig1.0.112,2391065193,9378075,9358702,9368388,0.00391808137537469
Pan_troglodytes.Pan_tro_3.0.112,3231170666,30292232,30107872,30200052,0.00934647380832591
Papio_anubis.Panubis1.0.112,2869821163,23574762,23639342,23607052,0.00822596623941615
Parambassis_ranga.fParRan2.2.112,551012959,17376225,17235666,17305945,0.0314075099638446
Paramormyrops_kingsleyae.PKINGS_0.1.112,799421083,4980107,4795371,4887739,0.00611409819423039
Parus_major.Parus_major1.1.112,1020310768,16268206,16160607,16214406,0.0158916346945777
Pavo_cristatus.AIIM_Pcri_1.0.112,1027510962,1235076,1212828,1223952,0.00119118145232985
Pelodiscus_sinensis.PelSin_1.0.112,2202483752,6258481,6157282,6207881,0.0028185819733575
Pelusios_castaneus.Pelusios_castaneus-1.0.112,2044278682,11613165,11422335,11517750,0.0056341388781356
Periophthalmus_magnuspinnatus.fPerMag1.2.pri.112,701696780,17415488,17521911,17468699,0.0248949396632545
Peromyscus_maniculatus_bairdii.HU_Pman_2.1.112,2512423440,16125589,16377105,16251347,0.00646839491355804
Petromyzon_marinus.Pmarinus_7.0.112,885550958,813199,808724,810961,0.000915769999087958
Phascolarctos_cinereus.phaCin_unsw_v4.1.112,3192581492,12683981,12809273,12746627,0.00399257686356343
Phasianus_colchicus.ASM414374v1.112,1017507340,10360345,10282111,10321228,0.0101436398483376
Phocoena_sinus.mPhoSin1.pri.112,2371524154,24164150,23789135,23976642,0.0101102246669338
Physeter_catodon.ASM283717v2.112,2512132974,16801802,16797343,16799572,0.00668737370747159
Piliocolobus_tephrosceles.ASM277652v2.112,3038007327,12227040,12149000,12188020,0.00401184680882108
Podarcis_muralis.PodMur_1.0.112,1511002858,21372273,21531068,21451670,0.0141969751323925
Poecilia_formosa.PoeFor_5.1.2.112,748923461,5076005,4900700,4988352,0.0066606966663046
Poecilia_latipinna.P_latipinna-1.0.112,815144743,1037474,1077334,1057404,0.00129719784011415
Poecilia_mexicana.P_mexicana-1.0.112,801711499,1081783,1087979,1084881,0.00135320623610015
Poecilia_reticulata.Guppy_female_1.0_MT.112,731622281,17562031,17504343,17533187,0.0239648073265828
Pogona_vitticeps.pvi1.1.112,1816116151,5373298,5411235,5392266,0.00296911956706672
Pongo_abelii.Susie_PABv2.112,3065052215,23985620,23373178,23679399,0.00772561031231894
Procavia_capensis.proCap1.112,2993339806,436241,451008,443624,0.000148203688438839
Prolemur_simus.Prosim_1.0.112,2411593676,4792795,4736598,4764696,0.00197574576821042
Propithecus_coquereli.Pcoq_1.0.112,2798152141,8196288,8308716,8252502,0.00294926851155804
Pseudonaja_textilis.EBS10Xv2-PRI.112,1590035073,11151255,11319516,11235385,0.00706612400618411
Pteropus_vampyrus.pteVam1.112,1999614463,857373,882127,869750,0.000434958846364375
Pundamilia_nyererei.PunNye1.0.112,830133247,6014885,6044528,6029706,0.00726353994589498
Pygocentrus_nattereri.fPygNat1.pri.112,1222050449,24575173,24611016,24593094,0.0201244506886966
Rattus_norvegicus.mRatBN7.2.112,2647915728,33561767,34026139,33793953,0.0127624730057119
Rattus_norvegicus_shrspbbbutx.UTH_Rnor_SHRSP_BbbUtx_1.0.112,2907517304,32381558,32319921,32350739,0.0111265851988202
Rattus_norvegicus_shrutx.UTH_Rnor_SHR_Utx.112,2866391611,32182351,32311113,32246732,0.0112499394277637
Rattus_norvegicus_wkybbb.UTH_Rnor_WKY_Bbb_1.0.112,2910747220,32168275,32359543,32263909,0.0110844077350008
Rhinolophus_ferrumequinum.mRhiFer1_v1.p.112,2075768562,20624498,20468918,20546708,0.0098983616845046
Rhinopithecus_bieti.ASM169854v1.112,2977074946,5506344,5612657,5559500,0.00186743703159699
Rhinopithecus_roxellana.Rrox_v1.112,2899552139,4689047,4531924,4610485,0.00159006797566678
Saccharomyces_cerevisiae.R64-1-1.112,12157105,1240916,1205292,1223104,0.100608162880883
Saimiri_boliviensis_boliviensis.SaiBol1.0.112,2608588537,16496440,16673881,16585160,0.00635790572746813
Salarias_fasciatus.fSalaFa1.1.112,797490645,18996323,19157026,19076674,0.0239208749589784
Salmo_salar_gca021399835v1.USDA_NASsal_1.1.112,2829823532,59439497,59329508,59384502,0.0209852315271509
Salmo_salar_gca923944775v1.Ssal_Brian_v1.0.112,2624445891,57669010,57269248,57469129,0.0218976238744638
Salmo_salar_gca931346935v2.Ssal_ALTA.112,2621787693,30057048,29632408,29844728,0.0113833504061688
Salmo_salar.Ssal_v3.1.112,2756584103,66792176,66892388,66842282,0.0242482287869452
Salmo_trutta.fSalTru1.1.112,2371880186,40093608,39196700,39645154,0.0167146528876143
Salvator_merianae.HLtupMer3.112,2026218827,15453315,15325994,15389654,0.00759525762712696
Sander_lucioperca.SLUC_FBN_1.112,900477767,9607527,9639046,9623286,0.0106868668529825
Sarcophilus_harrisii.mSarHar1.11.112,3086674442,42039153,39451750,40745451,0.0132004368344072
Sciurus_vulgaris.mSciVul1.1.112,2878591032,19597132,19901415,19749273,0.00686074290528117
Scleropages_formosus.fSclFor1.1.112,784546363,22516273,22234763,22375518,0.0285203259555484
Scophthalmus_maximus.ASM1334776v1.112,556696898,17407342,17921965,17664653,0.0317311863304113
Serinus_canaria.SCA1.112,1152083301,12163882,12133825,12148853,0.0105451168239787
Seriola_dumerili.Sdu_1.0.112,677686174,11237872,11348780,11293326,0.0166645365263125
Seriola_lalandi_dorsalis.Sedor1.112,732509836,4584804,4614180,4599492,0.00627908565039392
Sinocyclocheilus_anshuiensis.SAMN03320099.WGS_v1.1.112,1632718266,4156841,4253640,4205240,0.00257560663561536
Sinocyclocheilus_grahami.SAMN03320097.WGS_v1.1.112,1750287761,4785175,4774054,4779614,0.0027307589680392
Sinocyclocheilus_rhinocerous.SAMN03320098_v1.1.112,1655786410,3487148,3537237,3512192,0.00212116247529777
Sorex_araneus.COMMON_SHREW1.112,2944193050,551801,541909,546855,0.000185740197980564
Sparus_aurata.fSpaAur1.1.112,833578411,21887008,22101320,21994164,0.026385237081194
Spermophilus_dauricus.ASM240643v1.112,3106271744,4121710,4107551,4114630,0.00132462010381021
Sphaeramia_orbicularis.fSphaOr1.1.112,1342662642,21014623,21444649,21229636,0.0158115935722892
Sphenodon_punctatus.ASM311381v1.112,4272214985,6000108,5871885,5935996,0.00138944224970926
Stachyris_ruficeps.ASM869450v1.112,1041446934,11409262,11239452,11324357,0.0108736764498459
